name,description,price,page proudct url,product_cat,nots,FOR,brand,user,type
ADROIT - أدرويت,"عطر للجنسين ممزوج بعبقاً من الدفء و العمق من ثراء التبغ و الفانيليا اللطيفة مع لمسة ذهبية من العسل الجبلي
<h5>العطر الساحر و الجذاب ADROIT و الراقي و هو مناسب جداً للذين يفضلون الطبقات المتعددة
و مع كل استعمال يترك انطباعا ساحراً لا ينسى مستوحاة من : TOBACCO HONEY
",1500,https://val-mira.com/product/adroit/,أثينا|الكل|عطور زهرية|عطور فواحة|عطور رجالي|عطور للجنسين,"عسل، قرنفل، برغموت، تبغ، فانيليا، لوز، عود، وتونكا",شتوي,Athena - أثينا,man,خشبي
MIDAS - ميداس,"عطر MIDAS هو تجسيد للفخامة والرفاهية في زجاجة واحدة، يأخذك في رحلة حسية ساحرة تجمع بين القوة والنعومة في تناغم مذهل إنه عطر يروي قصة الفخامة والتألق، يشعر من يرتديه وكأنه في عالم من الرفاهية المطلقة. رائحته مليئة بالغموض والجاذبية، حيث يترك أثرًا لا يُنسى في كل مكان يمر به
هو خيار لمن يفضلون التفرد ويبحثون عن شيء استثنائي يعكس شخصيتهم المترفة والمميزة. إنه يحيط صاحبه بهالة من الثقة والإغراء
مستوحاة من : Au Coeur du Désert
",4650,https://val-mira.com/product/midas/,أثينا|الكل|عطور فواحة|عطور خشبية|عطور رجالي,"الكزبرة، العنبر، الياسمين، الكمون، قطران البتولا، خشب الأرز، نجيل الهند، اللابدانوم",شتوي,Athena - أثينا,man,خشبي شرقي
ASTRA - أسترا,"

عطر ASTRA هو تجسيد للأناقة والتميز، يفتتح بنفحات منعشة من الحمضيات، ويتطور ليكشف عن قلب دافئ من الزهور الفاخرة والمكونات الخشبية. تستقر قاعدة العطر على مزيج من العنبر والمسك والفانيليا، مما يترك أثراً جذاباً وفاخراً يدوم طويلاً. هذا العطر مصمم ليمنح شعوراً بالثقة والتميز، وهو مستوحى من عطر CODE ABSOLU GOLD.",1500,https://val-mira.com/product/astra/,أثينا|الكل|عطور حمضية|عطور خشبية|عطور رجالي|عطور للجنسين,"ماندرين، تفاح أخضر، سوسن، زعفران، حبوب التونكا، بنزوين، خشب الغاياك، وخشب الأرز",صيفي - شتوي,Athena - أثينا,unisex,حلو
ART TRE ABSOLU - آرت تري أبسولو,عطر ART TRE ABSOLU يجسد الفخامة والتألق بتركيبته الفريدة التي تمزج بين النوتات الدافئة والعميقة حيث يفتتح برائحة الهيل والبرغموت ليمنح انتعاشا جذابا يليه قلب عطري غني بنفحات العنبر واللبان التي تضفي لمسة من الدفء والغموض,1500,https://val-mira.com/?post_type=product&p=980,أثينا|الكل|عطور رجالي,"جريب فروت، برغموت، قرفة، زنجبيل، سترون، هيل، أناناس، نجيل الهند، فلفل وردي، بتولا، مسك، وأمبروكسان",صيفي,Athena - أثينا,man,منعش
DEVON - ديفون,أما القاعدة فتتألق بمزيج فاخر من خشب الصندل والفانيليا والتونكا مما يمنح ثباتا يدوم طويلا ويعكس طابعا راقيا يناسب مختلف الأوقات والمناسبات,4650,https://val-mira.com/product/devon/,أثينا|الكل|عطور رجالي|عطور للجنسين,"خشب الكشمير، العنبر، الباتشولي، خشب الأرز خشب الصندل، اللبان، الهيل  توت العرعر، الليمون، البرغموت، المريمية",صيفي,Athena - أثينا,man,منعش
ORIGAMI - اوريجامي,عطر ORIGAMI هو عطر شرقي خشبي يتميز برائحة معقدة تجمع بين الجاذبية والعمق مما يضفي لمسة من الأناقة والتميز على من يرتديه,1500,https://val-mira.com/product/origami/,أثينا|الكل|عطور زهرية|عطور فواحة|عطور رجالي|عطور للجنسين|عطور نسائية,"تفاح، هيل، زعفران، ورد، خشب الأرز، بردي، عسل، تبغ، باتشولي، بخور، وإمورتيل",شتوي صيفي,Athena - أثينا,man,خشبي زهري
STANZA - ستانزا,عطر STANZA هو عطر شرقي خشبي فاخر يناسب الجنسين يتميز بمزيج دافئ وغني من التوابل والأخشاب ليمنح من يرتديه شعورًا بالتميز والجاذبية,1500,https://val-mira.com/product/stanza/,أثينا|الكل|عطور شرقية|عطور فواحة|عطور رجالي|عطور للجنسين|عطور نسائية,"مشمش، نفحات فاكهية، عود، ورد، قرفة، عنبر، لبان، فانيليا، وخشب الأرز.",شتوي,Athena - أثينا,man,خشبي شرقي
GREEK ISLAND - كريك آيلند,"عطر GREEK ISLAND  هو عطر شرقي فاخر يناسب الجنسين يتميز بمزيج فريد من الروائح الحمضية والدافئة، مما يخلق تجربة عطرية تنقل الشخص إلى أجواء الجزر اليونانية مع لمسات من الحمضيات والتوابل يقدم هذا العطر إحساسًا بالانتعاش والجاذبية طوال اليوم",1500,https://val-mira.com/product/greek-island/,أثينا|الكل|عطور فواحة|عطور خشبية|عطور رجالي|عطور للجنسين,"عسل، ليمون، خزامى، قرفة، كاكاو، عنبر، تبغ، فانيليا، وحبوب التونكا",شتوي,Athena - أثينا,unisex,خشبي شرقي
RUBY NIGHTS - روبي نايتس,عطر RUBY NIGHTS هو تجسيد للفخامة والجاذبية بلمسات شرقية ساحرة حيث تمتزج نفحات التوابل الدافئة مع عبير الزهور الغني لتكشف عن طابع أنيق وعميق تعزز المكونات الخشبية الفاخرة من سحر العطر مما يجعله مثاليًا لمن يبحث عن حضور آسر يترك انطباعًا لا يُنسى في كل مناسبة,4650,https://val-mira.com/product/ruby-nights/,أثينا|الكل|عطور شرقية|عطور زهرية|عطور فواحة|عطور رجالي|عطور للجنسين|عطور نسائية,"خشب الصندل، الناجارموثا، الطحلب، خشب الأرز  المستكة، العود الزعفران، عشب الليمون",صيفي - شتوي,Athena - أثينا,unisex,خشبي حلو
ZORBA - زوربا,"عطر ZORBA يجسد روح الحرية والقوة، وهو عطر حيوي يجمع بين النوتات العطرية المنعشة والدافئة. يبدأ بلمسات عشبية وأروماتيكية فريدة، ثم يتطور إلى قلب غني يعكس العمق والأناقة، ويستقر على قاعدة خشبية دافئة. إنه عطر مثالي لمن يبحث عن حضور يعبر عن الثقة والشغف بالحياة، وهو مستوحى من عطر ""Smoking Hot"".",1500,https://val-mira.com/product/zorba/,الكل|عطور شرقية|عطور زهرية|عطور فواحة|عطور رجالي|عطور للجنسين,"تفاح، يانسون، دخان، قرفة، تبغ، إيفرنيل، فانيليا، وعنبر",صيفي,Athena - أثينا,man,منعش
